Proteome ID	Organism	Organism ID	Protein count	BUSCO	CPD	Genome representation (RefSeq)
UP000583740	Cardinalis cardinalis (Northern cardinal)	98964	13821	C:73.3%[S:73.1%,D:0.2%],F:5.9%,M:20.9%,n:10844	Standard	full
UP000001645	Meleagris gallopavo (Wild turkey)	9103	28236	C:87.1%[S:77.3%,D:9.8%],F:4.4%,M:8.6%,n:8338	Outlier (high value)	full
UP000585317	Hirundo rustica (Barn swallow)	43150	14412	C:75.6%[S:75.4%,D:0.2%],F:5.7%,M:18.7%,n:10844	Close to standard (high value)	full
UP000084051	Nicotiana tabacum (Common tobacco) (Strain: cv. TN90)	4097	73605	C:98.8%[S:18.6%,D:80.2%],F:0.6%,M:0.6%,n:5950	Outlier (high value)	full
UP000268350	Drosophila guanche (Fruit fly)	7266	17569	C:97.7%[S:75.2%,D:22.5%],F:0.2%,M:2.1%,n:3285	Standard	full
UP000094020	Kwoniella pini CBS 10737 (Strain: CBS 10737)	1296096	7827	C:99.3%[S:99.3%,D:0%],F:0.4%,M:0.3%,n:4284	Outlier (high value)	full
UP000073492	Pseudocercospora musae (Strain: CBS 116634)	113226	11907	C:85.6%[S:77.4%,D:8.2%],F:0.3%,M:14%,n:3786	Standard	full
UP000008553	Plasmodium yoelii yoelii (Strain: 17XNL)	73239	7741	C:64.7%[S:64.6%,D:0.1%],F:10.5%,M:24.7%,n:3642	Outlier (high value)	full
UP000308730	Antrodiella citrinella (Strain: DSM 108506)	2447956	9798	C:76%[S:75.1%,D:0.9%],F:5.3%,M:18.7%,n:4464	Close to standard (low value)	full
UP000515160	Drosophila albomicans (Fruit fly) (Strain: 15112-1751.03)	7291	19749	C:97.6%[S:69%,D:28.6%],F:0%,M:2.4%,n:3285	Standard	full
UP000537234	Dicrurus megarhynchus	450177	14215	C:77.1%[S:76.9%,D:0.2%],F:4.8%,M:18.1%,n:10844	Close to standard (high value)	full
UP000247702	Rhizophagus clarus (Strain: HR1)	94130	27461	C:94.6%[S:93.9%,D:0.7%],F:1.7%,M:3.7%,n:1614	Unknown	full
UP000292509	Monosporascus sp. MC13-8B (Strain: MC13-8B)	2211646	10637	C:95.8%[S:95.7%,D:0.1%],F:1.5%,M:2.7%,n:3817	Standard	full
UP000016931	Sphaerulina musiva (strain SO2202) (Poplar stem canker fungus) (Septoria musiva) (Strain: SO2202)	692275	10154	C:97.8%[S:97.7%,D:0.1%],F:1.1%,M:1.1%,n:3786	Close to standard (low value)	full
UP000029327	Pseudogymnoascus sp. VKM F-4281 (FW-2241) (Strain: VKM F-4281 (FW-2241))	1420906	8727	C:88.9%[S:88.7%,D:0.2%],F:4.4%,M:6.7%,n:3234	Close to standard (low value)	full
UP000515908	Angomonas deanei (Strain: Crithidia deanei Carvalho (ATCC PRA-265))	59799	10115	C:77.7%[S:77.7%,D:0%],F:17.7%,M:4.6%,n:130	Standard	full
UP000285301	Dinothrombium tinctorium	1965070	13518	C:88.6%[S:53.3%,D:35.3%],F:1.7%,M:9.6%,n:2934	Unknown	full
UP000006514	Auricularia subglabra (strain TFB-10046 / SS5) (White-rot fungus) (Auricularia delicata (strain TFB10046)) (Strain: TFB10046)	717982	5290	C:7.6%[S:7.2%,D:0.4%],F:1%,M:91.3%,n:2898	Close to standard (low value)	full
UP000007800	Perkinsus marinus (strain ATCC 50983 / TXsc) (Strain: ATCC 50983 / TXsc)	423536	23114	C:96.5%[S:42.7%,D:53.8%],F:1.8%,M:1.8%,n:171	Unknown	full
UP000298138	Ascodesmis nigricans (Strain: CBS 389.68)	341454	9617	C:96.4%[S:95.1%,D:1.2%],F:1%,M:2.6%,n:1706	Unknown	full
UP000184073	Aspergillus versicolor CBS 583.65 (Strain: CBS 583.65)	1036611	13222	C:97.9%[S:97.4%,D:0.5%],F:0.7%,M:1.4%,n:4191	Close to standard (high value)	full
UP000269221	Hirundo rustica rustica	333673	34534	C:77.5%[S:76.4%,D:1.1%],F:6.1%,M:16.4%,n:10844	Outlier (high value)	full
UP000184383	Aspergillus wentii DTO 134E9 (Strain: DTO 134E9)	1073089	12389	C:98.4%[S:97.8%,D:0.7%],F:0.6%,M:1%,n:4191	Standard	full
UP000009136	Bos taurus (Bovine) (Strain: Hereford)	9913	37514	C:97.1%[S:54.4%,D:42.7%],F:0.9%,M:2.1%,n:13335	Standard	full
UP000233020	Aotus nancymaae (Ma's night monkey)	37293	41725	C:94.2%[S:51.2%,D:43%],F:0.8%,M:5.1%,n:13780	Standard	full
UP000016935	Setosphaeria turcica (strain 28A) (Northern leaf blight fungus) (Exserohilum turcicum) (Strain: 28A)	671987	11687	C:97.2%[S:97.1%,D:0.1%],F:1.8%,M:1.1%,n:6641	Standard	full
UP000078237	Madurella mycetomatis (Strain: mm55)	100816	9733	C:89.3%[S:79.5%,D:9.8%],F:0.9%,M:9.8%,n:3817	Standard	full
UP000248340	Aspergillus uvarum CBS 121591 (Strain: CBS 121591)	1448315	12014	C:96.8%[S:96.4%,D:0.4%],F:1.3%,M:1.9%,n:4191	Standard	full
UP000053664	Anthracocystis flocculosa PF-1 (Strain: PF-1)	1277687	4425	C:66.9%[S:66.8%,D:0.1%],F:0.3%,M:32.8%,n:1764	Unknown	full
UP000054279	Sphaerobolus stellatus (strain SS14) (Strain: SS14)	990650	24609	C:44.3%[S:38.8%,D:5.5%],F:6.9%,M:48.8%,n:2898	Outlier (high value)	full
UP000054361	fungal sp. No.11243 (Strain: No.11243)	1603295	9692	C:93.1%[S:93%,D:0.1%],F:1.3%,M:5.5%,n:758	Unknown	full
UP000271974	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	188477	23836	C:81.7%[S:80.7%,D:1%],F:3.4%,M:15%,n:5295	Unknown	full
UP000005222	Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695) (Hybrid yeast) (Strain: ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695)	559304	8851	C:99.4%[S:0.9%,D:98.5%],F:0.1%,M:0.4%,n:2137	Outlier (high value)	full
UP000053831	Escovopsis weberi	150374	6869	C:85.4%[S:85.4%,D:0.1%],F:7.2%,M:7.4%,n:4494	Close to standard (low value)	full
UP000077115	Batrachochytrium dendrobatidis (strain JEL423) (Strain: JEL423)	403673	9531	C:82.5%[S:73.9%,D:8.6%],F:4%,M:13.6%,n:758	Unknown	full
UP000054558	Klebsormidium nitens (Green alga) (Ulothrix nitens) (Strain: NIES-2285)	105231	128	C:96.9%[S:96.5%,D:0.5%],F:1.9%,M:1.2%,n:425	Unknown	full
UP000291116	Pseudo-nitzschia multistriata (Strain: B856)	183589	11907	C:86%[S:85%,D:1%],F:1%,M:13%,n:100	Unknown	full
UP000001926	Entamoeba histolytica (Strain: ATCC 30459 / HM-1:IMSS)	5759	7959	C:52.5%[S:46.3%,D:6.3%],F:5.1%,M:42.4%,n:255	Unknown	full
UP000583164	Rhabdornis inornatus	237438	14339	C:77.2%[S:77%,D:0.3%],F:5.1%,M:17.7%,n:10844	Close to standard (high value)	full
UP000234474	Aspergillus novofumigatus (strain IBT 16806) (Strain: IBT 16806)	1392255	11480	C:97.9%[S:97.5%,D:0.4%],F:0.9%,M:1.2%,n:4191	Standard	full
UP000189701	Nicotiana sylvestris (Wood tobacco) (South American tobacco)	4096	41326	C:97.2%[S:65.9%,D:31.3%],F:1.2%,M:1.6%,n:5950	Close to standard (high value)	full
UP000222542	Capsicum annuum (Capsicum pepper) (Strain: cv. CM334)	4072	35548	C:90%[S:87.8%,D:2.2%],F:3.3%,M:6.8%,n:5950	Standard	full
UP000269721	Blyttiomyces helicus	388810	12137	C:38.7%[S:38%,D:0.7%],F:17.4%,M:43.9%,n:758	Unknown	full
UP000000673	Anopheles darlingi (Mosquito)	43151	10447	C:91.6%[S:91.2%,D:0.4%],F:1.6%,M:6.8%,n:3285	Close to standard (low value)	full
UP000030746	Lottia gigantea (Giant owl limpet)	225164	23675	C:88.3%[S:87.6%,D:0.7%],F:7.6%,M:4.1%,n:5295	Unknown	full
UP000002296	Trypanosoma cruzi (strain CL Brener) (Strain: CL Brener)	353153	19242	C:97.7%[S:70%,D:27.7%],F:1.5%,M:0.8%,n:130	Outlier (high value)	full
UP000015104	Tetranychus urticae (Two-spotted spider mite) (Strain: London)	32264	17526	C:90.3%[S:84%,D:6.3%],F:1%,M:8.7%,n:2934	Unknown	full
UP000002038	Blastomyces gilchristii (strain SLH14081) (Blastomyces dermatitidis) (Strain: SLH14081)	559298	10303	C:97.3%[S:85.5%,D:11.8%],F:0.9%,M:1.8%,n:4862	Close to standard (high value)	full
UP000524542	Urocynchramus pylzowi	571890	13671	C:75.7%[S:75.5%,D:0.2%],F:5%,M:19.2%,n:10844	Standard	full
UP000245783	Ceraceosorus guamensis (Strain: MCA 4658)	1522189	7822	C:93.8%[S:93.6%,D:0.2%],F:1.5%,M:4.6%,n:1764	Unknown	full
UP000587587	Promerops cafer (Cape sugarbird)	254652	14071	C:75.8%[S:75.6%,D:0.2%],F:5.5%,M:18.7%,n:10844	Standard	full
UP000001819	Drosophila pseudoobscura pseudoobscura (Fruit fly) (Strain: MV2-25 / Tucson 14011-0121.94)	46245	23066	C:99.8%[S:64.9%,D:34.9%],F:0.1%,M:0.1%,n:3285	Close to standard (high value)	full
UP000019376	Penicillium oxalicum (strain 114-2 / CGMCC 5302) (Penicillium decumbens) (Strain: 114-2 / CGMCC 5302)	933388	9977	C:99.1%[S:98.9%,D:0.2%],F:0.1%,M:0.8%,n:4191	Standard	full
UP000326759	Armadillidium nasatum	96803	14427	C:75%[S:70.3%,D:4.7%],F:8.7%,M:16.3%,n:1013	Outlier (high value)	full
UP000541811	Arenaria interpres (Ruddy turnstone) (Tringa interpres)	54971	13845	C:76%[S:75.7%,D:0.3%],F:7.5%,M:16.6%,n:8338	Standard	full
UP000515154	Octopus vulgaris (Common octopus)	6645	30330	C:90.8%[S:47.6%,D:43.3%],F:1.5%,M:7.7%,n:5295	Unknown	full
UP000575874	Aphelocoma coerulescens (Florida scrub-jay) (Corvus coerulescens)	39617	14551	C:77.9%[S:77.6%,D:0.3%],F:5.1%,M:17%,n:10844	Close to standard (high value)	full
UP000054302	Exophiala mesophila (Black yeast) (Strain: CBS 40295)	212818	10000	C:95.2%[S:87.2%,D:8%],F:0.4%,M:4.4%,n:6265	Standard	full
UP000308768	Cryomyces minteri (Strain: CCFEE 5187)	331657	13291	C:87%[S:55.5%,D:31.5%],F:4.6%,M:8.3%,n:3786	Close to standard (high value)	full
UP000014760	Capitella teleta (Polychaete worm) (Strain: I ESC-2004)	283909	31134	C:92.9%[S:88.9%,D:4%],F:3.5%,M:3.7%,n:954	Unknown	full
UP000029725	Mitosporidium daphniae (Strain: UGP3)	1485682	3256	C:34%[S:32.3%,D:1.7%],F:3%,M:63%,n:600	Unknown	full
UP000541605	Chaetorhynchus papuensis (pygmy drongo)	254446	14303	C:76.7%[S:76.3%,D:0.4%],F:5.5%,M:17.9%,n:10844	Close to standard (high value)	full
UP000282876	Tubulinosema ratisbonensis (Strain: Franzen)	291195	2996	C:79.3%[S:76%,D:3.3%],F:1.7%,M:19%,n:600	Unknown	full
UP000318447	Leishmania donovani (Strain: FDAARGOS_361)	5661	7554	C:99.2%[S:99.2%,D:0%],F:0%,M:0.8%,n:130	Close to standard (low value)	full
UP000192386	Rachicladosporium sp. CCFEE 5018 (Strain: CCFEE 5018)	1974281	18035	C:93.9%[S:29.9%,D:63.9%],F:1.9%,M:4.3%,n:3786	Outlier (high value)	full
UP000236242	Rhizophagus irregularis (strain DAOM 181602 / DAOM 197198 / MUCL 43194) (Arbuscular mycorrhizal fungus) (Glomus intraradices) (Strain: DAOM 181602 / DAOM 197198 / MUCL 43194)	747089	11211	C:92.9%[S:84.2%,D:8.7%],F:2.7%,M:4.4%,n:1614	Unknown	full
UP000006706	Aspergillus niger (strain CBS 513.88 / FGSC A1513) (Strain: CBS 513.88 / FGSC A1513 / ATCC MYA-4892)	425011	14069	C:93.6%[S:93.3%,D:0.3%],F:1.9%,M:4.5%,n:4191	Close to standard (high value)	
UP000000314	Komagataella phaffii (strain GS115 / ATCC 20864) (Yeast) (Pichia pastoris) (Strain: GS115 / ATCC 20864)	644223	5073	C:97.6%[S:97.4%,D:0.1%],F:0.3%,M:2.2%,n:2137	Close to standard (low value)	full
UP000054815	Trichinella pseudospiralis (Parasitic roundworm)	6337	14914	C:62.4%[S:40.9%,D:21.5%],F:2.1%,M:35.4%,n:3131	Unknown	full
UP000233180	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	61621	42660	C:93.2%[S:50.7%,D:42.5%],F:1.9%,M:4.9%,n:13780	Standard	full
UP000509530	Lactuca saligna (Willowleaf lettuce)	75948	44179	C:88.8%[S:80%,D:8.8%],F:1.5%,M:9.7%,n:2326	Standard	full
UP000015100	Dactylellina haptotyla (strain CBS 200.50) (Nematode-trapping fungus) (Monacrosporium haptotylum) (Strain: CBS 200.50)	1284197	10959	C:94.3%[S:94.1%,D:0.1%],F:1.6%,M:4.1%,n:1706	Unknown	full
UP000078544	Moelleriella libera RCEF 2490 (Strain: RCEF 2490)	1081109	8458	C:95.6%[S:95.5%,D:0.1%],F:1.4%,M:3%,n:4494	Close to standard (low value)	full
UP000009097	Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato) (Strain: 4287 / CBS 123668 / FGSC 9935 / NRRL 34936)	426428	16646	C:88.9%[S:88.2%,D:0.7%],F:5.5%,M:5.6%,n:4494	Close to standard (high value)	full
UP000095358	Hanseniaspora uvarum (Yeast) (Kloeckera apiculata) (Strain: AWRI3580)	29833	4059	C:81.3%[S:81.1%,D:0.2%],F:1.1%,M:17.6%,n:2137	Outlier (low value)	full
UP000076881	Akanthomyces lecanii RCEF 1005 (Strain: RCEF 1005)	1081108	11019	C:97.8%[S:97.4%,D:0.3%],F:1.2%,M:1%,n:4494	Standard	full
UP000560066	Neodrepanis coruscans (wattled asity)	254563	8830	C:30.8%[S:30.6%,D:0.1%],F:7.3%,M:62%,n:10844	Outlier (low value)	full
UP000078113	Tilletia walkeri (Strain: DAOM 236422)	117179	7968	C:96.1%[S:95.5%,D:0.6%],F:1.1%,M:2.8%,n:1764	Unknown	full
UP000242519	Marssonina coronariae (Strain: NL1)	503106	9355	C:94.7%[S:94.6%,D:0%],F:2%,M:3.4%,n:5177	Close to standard (low value)	full
UP000010422	Pneumocystis jirovecii (strain SE8) (Human pneumocystis pneumonia agent) (Strain: SE8)	1209962	3419	C:51.7%[S:47.8%,D:3.9%],F:8%,M:40.3%,n:1706	Unknown	full
UP000541181	Chunga burmeisteri (Black-legged seriema)	1352770	14396	C:80.4%[S:80.1%,D:0.3%],F:5.7%,M:13.9%,n:8338	Close to standard (high value)	full
UP000232323	Chlamydomonas eustigma (Strain: NIES-2499)	1157962	14139	C:97.2%[S:91.8%,D:5.5%],F:0.7%,M:2.1%,n:1519	Unknown	full
UP000325492	Coniochaeta sp. 2T2.1 (Strain: 2T2.1)	1571157	24540	C:98.5%[S:3.5%,D:95%],F:0.4%,M:1.1%,n:3817	Outlier (high value)	full
UP000006352	Fibroporia radiculosa (Strain: TFFH 294)	599839	9251	C:90.7%[S:90.3%,D:0.5%],F:3%,M:6.3%,n:4464	Close to standard (low value)	full
UP000052943	Phytophthora nicotianae (Buckeye rot agent) (Strain: race 0)	4790	15887	C:99%[S:86%,D:13%],F:0%,M:1%,n:100	Close to standard (low value)	full
UP000030655	Anncaliia algerae PRA339 (Strain: PRA339)	1288291	3576	C:76.3%[S:74.5%,D:1.8%],F:2.2%,M:21.5%,n:600	Unknown	full
UP000008782	Colletotrichum graminicola (strain M1.001 / M2 / FGSC 10212) (Maize anthracnose fungus) (Glomerella graminicola) (Strain: M1.001 / M2 / FGSC 10212)	645133	12019	C:98.5%[S:98.5%,D:0.1%],F:0.9%,M:0.6%,n:6841	Standard	full
UP000570016	Rhynochetos jubatus (kagu)	54386	13676	C:80.1%[S:79.8%,D:0.3%],F:5.9%,M:14.1%,n:8338	Standard	full
UP000030689	Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum)	72664	28349	C:97.6%[S:89%,D:8.6%],F:0.8%,M:1.6%,n:4596	Outlier (high value)	full
UP000006790	Eremothecium cymbalariae (strain CBS 270.75 / DBVPG 7215 / KCTC 17166 / NRRL Y-17582) (Yeast) (Strain: CBS 270.75 / DBVPG 7215 / KCTC 17166 / NRRL Y-17582)	931890	4429	C:93.9%[S:93.9%,D:0%],F:0.1%,M:6%,n:2137	Outlier (low value)	full
UP000005239	Pristionchus pacificus (Parasitic nematode) (Strain: PS312)	54126	25205	C:35.5%[S:34.1%,D:1.4%],F:0.4%,M:64%,n:3131	Standard	
UP000198406	Fistulifera solaris (Oleaginous diatom) (Strain: JPCC DA0580)	1519565	20319	C:97%[S:14%,D:83%],F:1%,M:2%,n:100	Unknown	full
UP000078542	Cyphomyrmex costatus	456900	15716	C:91.9%[S:91.3%,D:0.6%],F:2.3%,M:5.8%,n:5991	Standard	full
UP000327493	Etheostoma spectabile (orangethroat darter)	54343	18371	C:59.8%[S:57.4%,D:2.4%],F:6.4%,M:33.8%,n:3640	Close to standard (low value)	full
UP000091918	Emergomyces africanus (Strain: CBS 136260)	1955775	8745	C:88.9%[S:88.2%,D:0.7%],F:8.2%,M:2.9%,n:4862	Standard	full
UP000310158	Bondarzewia mesenterica (Strain: DSM 108281)	1095465	10514	C:85.4%[S:83.5%,D:1.9%],F:3.5%,M:11.2%,n:2898	Close to standard (low value)	full
UP000018050	Eimeria acervulina (Coccidian parasite) (Strain: Houghton)	5801	6867	C:90.8%[S:90.4%,D:0.4%],F:6.2%,M:3%,n:502	Standard	full
UP000092993	Grifola frondosa (Maitake) (Polyporus frondosus) (Strain: 9006-11)	5627	14985	C:83.8%[S:83.3%,D:0.5%],F:10.3%,M:5.9%,n:4464	Close to standard (high value)	full
UP000562238	Circaetus pectoralis (black-chested snake-eagle)	321084	14132	C:77.8%[S:77.5%,D:0.3%],F:6%,M:16.1%,n:8338	Standard	full
UP000224634	Polytolypa hystricis UAMH7299 (Strain: UAMH7299)	1447883	9934	C:98.8%[S:98.6%,D:0.2%],F:0.5%,M:0.7%,n:4862	Standard	full
UP000197619	Lonchura striata domestica (Bengalese finch)	299123	15252	C:88.5%[S:88%,D:0.4%],F:3.7%,M:7.9%,n:10844	Outlier (high value)	full
UP000286412	Meyerozyma sp. JA9 (Strain: JA9)	2028340	5012	C:90.8%[S:90.7%,D:0.1%],F:0.3%,M:8.9%,n:2137	Outlier (low value)	full
UP000019384	Kuraishia capsulata CBS 1993 (Strain: CBS 1993)	1382522	6027	C:97.3%[S:97.1%,D:0.2%],F:1.5%,M:1.3%,n:2137	Close to standard (high value)	full
UP000280834	Brugia timori	42155	15861	C:60%[S:59.6%,D:0.4%],F:13%,M:27%,n:3131	Standard	full
UP000320762	Auriculariopsis ampla (Strain: NL-1724)	97359	15404	C:95%[S:90.7%,D:4.3%],F:1.3%,M:3.7%,n:3870	Standard	full
UP000262825	Saccharomycodes ludwigii (Strain: UTAD17)	36035	4013	C:87%[S:86.8%,D:0.2%],F:1.5%,M:11.5%,n:2137	Outlier (low value)	full
UP000189703	Nelumbo nucifera (Sacred lotus) (Strain: cv. China Antique)	4432	31582	C:98.9%[S:55.3%,D:43.6%],F:0.7%,M:0.4%,n:1614	Standard	full
UP000000803	Drosophila melanogaster (Fruit fly) (Strain: Berkeley)	7227	22088	C:100%[S:41.8%,D:58.2%],F:0%,M:0%,n:3285	Close to standard (high value)	full
UP000580250	Meloidogyne enterolobii	390850	56521	C:68.7%[S:8.3%,D:60.4%],F:1.4%,M:29.8%,n:3131	Outlier (high value)	full
